2026-06-13 18:51:57.785831: [training]
2026-06-13 18:52:18.906152: iter: [1/300], train_loss: 5.875314, valid_loss: 1.542386, best_valid_loss: 1.542386, lr: 0.00100
2026-06-13 18:52:39.059652: iter: [2/300], train_loss: 1.218449, valid_loss: 0.128979, best_valid_loss: 0.128979, lr: 0.00100
2026-06-13 18:52:59.570999: iter: [3/300], train_loss: 0.760382, valid_loss: 0.099411, best_valid_loss: 0.099411, lr: 0.00100
2026-06-13 18:53:20.091244: iter: [4/300], train_loss: 0.675474, valid_loss: 0.169010, best_valid_loss: 0.099411, lr: 0.00100
2026-06-13 18:53:41.405668: iter: [5/300], train_loss: 0.588842, valid_loss: 0.051453, best_valid_loss: 0.051453, lr: 0.00100
2026-06-13 18:54:02.862950: iter: [6/300], train_loss: 0.546006, valid_loss: 0.044362, best_valid_loss: 0.044362, lr: 0.00100
2026-06-13 18:54:24.187742: iter: [7/300], train_loss: 0.503400, valid_loss: 0.059350, best_valid_loss: 0.044362, lr: 0.00100
2026-06-13 18:54:46.083470: iter: [8/300], train_loss: 0.472252, valid_loss: 0.120083, best_valid_loss: 0.044362, lr: 0.00100
2026-06-13 18:55:08.021239: iter: [9/300], train_loss: 0.451800, valid_loss: 0.056575, best_valid_loss: 0.044362, lr: 0.00100
2026-06-13 18:55:30.070874: iter: [10/300], train_loss: 0.448976, valid_loss: 0.045651, best_valid_loss: 0.044362, lr: 0.00100
2026-06-13 18:55:52.959505: iter: [11/300], train_loss: 0.475155, valid_loss: 0.044168, best_valid_loss: 0.044168, lr: 0.00100
2026-06-13 18:56:15.761689: iter: [12/300], train_loss: 0.418083, valid_loss: 0.041241, best_valid_loss: 0.041241, lr: 0.00100
2026-06-13 18:56:38.451482: iter: [13/300], train_loss: 0.385698, valid_loss: 0.054312, best_valid_loss: 0.041241, lr: 0.00100
2026-06-13 18:57:01.613725: iter: [14/300], train_loss: 0.366625, valid_loss: 0.033020, best_valid_loss: 0.033020, lr: 0.00100
2026-06-13 18:57:24.323710: iter: [15/300], train_loss: 0.363366, valid_loss: 0.050147, best_valid_loss: 0.033020, lr: 0.00100
2026-06-13 18:57:46.942586: iter: [16/300], train_loss: 0.376030, valid_loss: 0.088051, best_valid_loss: 0.033020, lr: 0.00100
2026-06-13 18:58:09.548240: iter: [17/300], train_loss: 0.352427, valid_loss: 0.070398, best_valid_loss: 0.033020, lr: 0.00100
2026-06-13 18:58:32.256796: iter: [18/300], train_loss: 0.337479, valid_loss: 0.054023, best_valid_loss: 0.033020, lr: 0.00100
2026-06-13 18:58:55.087341: iter: [19/300], train_loss: 0.364989, valid_loss: 0.074268, best_valid_loss: 0.033020, lr: 0.00100
2026-06-13 18:59:17.943360: iter: [20/300], train_loss: 0.365267, valid_loss: 0.048162, best_valid_loss: 0.033020, lr: 0.00100
2026-06-13 18:59:40.724288: iter: [21/300], train_loss: 0.349981, valid_loss: 0.040656, best_valid_loss: 0.033020, lr: 0.00100
2026-06-13 19:00:03.383676: iter: [22/300], train_loss: 0.348150, valid_loss: 0.037727, best_valid_loss: 0.033020, lr: 0.00100
2026-06-13 19:00:26.363959: iter: [23/300], train_loss: 0.325635, valid_loss: 0.032336, best_valid_loss: 0.032336, lr: 0.00100
2026-06-13 19:00:49.049959: iter: [24/300], train_loss: 0.321234, valid_loss: 0.037699, best_valid_loss: 0.032336, lr: 0.00100
2026-06-13 19:01:11.785504: iter: [25/300], train_loss: 0.327265, valid_loss: 0.032586, best_valid_loss: 0.032336, lr: 0.00100
2026-06-13 19:01:34.545026: iter: [26/300], train_loss: 0.315644, valid_loss: 0.035882, best_valid_loss: 0.032336, lr: 0.00100
2026-06-13 19:01:57.299628: iter: [27/300], train_loss: 0.324167, valid_loss: 0.035025, best_valid_loss: 0.032336, lr: 0.00100
2026-06-13 19:02:20.376161: iter: [28/300], train_loss: 0.322011, valid_loss: 0.030324, best_valid_loss: 0.030324, lr: 0.00100
2026-06-13 19:02:43.107922: iter: [29/300], train_loss: 0.307178, valid_loss: 0.032151, best_valid_loss: 0.030324, lr: 0.00100
2026-06-13 19:03:06.204735: iter: [30/300], train_loss: 0.304836, valid_loss: 0.029924, best_valid_loss: 0.029924, lr: 0.00100
2026-06-13 19:03:28.983259: iter: [31/300], train_loss: 0.308356, valid_loss: 0.031282, best_valid_loss: 0.029924, lr: 0.00100
2026-06-13 19:03:51.761346: iter: [32/300], train_loss: 0.319763, valid_loss: 0.034713, best_valid_loss: 0.029924, lr: 0.00100
2026-06-13 19:04:14.497733: iter: [33/300], train_loss: 0.296872, valid_loss: 0.036874, best_valid_loss: 0.029924, lr: 0.00100
2026-06-13 19:04:37.277495: iter: [34/300], train_loss: 0.316897, valid_loss: 0.071541, best_valid_loss: 0.029924, lr: 0.00100
2026-06-13 19:05:00.443638: iter: [35/300], train_loss: 0.296785, valid_loss: 0.029225, best_valid_loss: 0.029225, lr: 0.00100
2026-06-13 19:05:23.244231: iter: [36/300], train_loss: 0.304511, valid_loss: 0.032933, best_valid_loss: 0.029225, lr: 0.00100
2026-06-13 19:05:46.012995: iter: [37/300], train_loss: 0.304643, valid_loss: 0.032481, best_valid_loss: 0.029225, lr: 0.00100
2026-06-13 19:06:08.774935: iter: [38/300], train_loss: 0.288736, valid_loss: 0.034071, best_valid_loss: 0.029225, lr: 0.00100
2026-06-13 19:06:31.533196: iter: [39/300], train_loss: 0.318773, valid_loss: 0.041754, best_valid_loss: 0.029225, lr: 0.00100
2026-06-13 19:06:54.637684: iter: [40/300], train_loss: 0.300497, valid_loss: 0.028135, best_valid_loss: 0.028135, lr: 0.00100
2026-06-13 19:07:17.387788: iter: [41/300], train_loss: 0.291297, valid_loss: 0.032109, best_valid_loss: 0.028135, lr: 0.00100
2026-06-13 19:07:40.167028: iter: [42/300], train_loss: 0.274033, valid_loss: 0.030047, best_valid_loss: 0.028135, lr: 0.00100
2026-06-13 19:08:02.968679: iter: [43/300], train_loss: 0.281660, valid_loss: 0.029407, best_valid_loss: 0.028135, lr: 0.00100
2026-06-13 19:08:25.775129: iter: [44/300], train_loss: 0.284233, valid_loss: 0.035140, best_valid_loss: 0.028135, lr: 0.00100
2026-06-13 19:08:48.527365: iter: [45/300], train_loss: 0.279178, valid_loss: 0.036015, best_valid_loss: 0.028135, lr: 0.00100
2026-06-13 19:09:11.317175: iter: [46/300], train_loss: 0.292117, valid_loss: 0.030388, best_valid_loss: 0.028135, lr: 0.00100
2026-06-13 19:09:34.093965: iter: [47/300], train_loss: 0.283136, valid_loss: 0.035903, best_valid_loss: 0.028135, lr: 0.00100
2026-06-13 19:09:56.833623: iter: [48/300], train_loss: 0.299591, valid_loss: 0.031928, best_valid_loss: 0.028135, lr: 0.00100
2026-06-13 19:10:19.570307: iter: [49/300], train_loss: 0.284888, valid_loss: 0.031113, best_valid_loss: 0.028135, lr: 0.00100
2026-06-13 19:10:42.600636: iter: [50/300], train_loss: 0.274143, valid_loss: 0.027941, best_valid_loss: 0.027941, lr: 0.00100
2026-06-13 19:11:05.332716: iter: [51/300], train_loss: 0.275182, valid_loss: 0.029468, best_valid_loss: 0.027941, lr: 0.00100
2026-06-13 19:11:28.048749: iter: [52/300], train_loss: 0.290644, valid_loss: 0.028077, best_valid_loss: 0.027941, lr: 0.00100
2026-06-13 19:11:50.778822: iter: [53/300], train_loss: 0.273556, valid_loss: 0.038161, best_valid_loss: 0.027941, lr: 0.00100
2026-06-13 19:12:13.529203: iter: [54/300], train_loss: 0.268054, valid_loss: 0.028152, best_valid_loss: 0.027941, lr: 0.00100
2026-06-13 19:12:36.295904: iter: [55/300], train_loss: 0.275285, valid_loss: 0.028566, best_valid_loss: 0.027941, lr: 0.00100
2026-06-13 19:12:59.061207: iter: [56/300], train_loss: 0.277507, valid_loss: 0.031197, best_valid_loss: 0.027941, lr: 0.00100
2026-06-13 19:13:21.787901: iter: [57/300], train_loss: 0.275793, valid_loss: 0.034855, best_valid_loss: 0.027941, lr: 0.00100
2026-06-13 19:13:44.524176: iter: [58/300], train_loss: 0.276500, valid_loss: 0.031915, best_valid_loss: 0.027941, lr: 0.00100
2026-06-13 19:14:07.625833: iter: [59/300], train_loss: 0.287954, valid_loss: 0.027754, best_valid_loss: 0.027754, lr: 0.00100
2026-06-13 19:14:30.337951: iter: [60/300], train_loss: 0.279037, valid_loss: 0.037312, best_valid_loss: 0.027754, lr: 0.00100
2026-06-13 19:14:53.050375: iter: [61/300], train_loss: 0.274947, valid_loss: 0.029087, best_valid_loss: 0.027754, lr: 0.00100
2026-06-13 19:15:15.769603: iter: [62/300], train_loss: 0.271608, valid_loss: 0.034847, best_valid_loss: 0.027754, lr: 0.00100
2026-06-13 19:15:38.516761: iter: [63/300], train_loss: 0.264505, valid_loss: 0.030556, best_valid_loss: 0.027754, lr: 0.00100
2026-06-13 19:16:01.241718: iter: [64/300], train_loss: 0.266780, valid_loss: 0.032749, best_valid_loss: 0.027754, lr: 0.00100
2026-06-13 19:16:23.943785: iter: [65/300], train_loss: 0.264035, valid_loss: 0.032447, best_valid_loss: 0.027754, lr: 0.00100
2026-06-13 19:16:46.634088: iter: [66/300], train_loss: 0.264296, valid_loss: 0.035680, best_valid_loss: 0.027754, lr: 0.00100
2026-06-13 19:17:09.372208: iter: [67/300], train_loss: 0.267374, valid_loss: 0.039366, best_valid_loss: 0.027754, lr: 0.00100
2026-06-13 19:17:32.113490: iter: [68/300], train_loss: 0.277939, valid_loss: 0.049552, best_valid_loss: 0.027754, lr: 0.00100
2026-06-13 19:17:54.821074: iter: [69/300], train_loss: 0.274281, valid_loss: 0.038202, best_valid_loss: 0.027754, lr: 0.00100
2026-06-13 19:18:17.571245: iter: [70/300], train_loss: 0.279231, valid_loss: 0.042412, best_valid_loss: 0.027754, lr: 0.00100
2026-06-13 19:18:40.302866: iter: [71/300], train_loss: 0.267270, valid_loss: 0.039592, best_valid_loss: 0.027754, lr: 0.00100
2026-06-13 19:19:03.004509: iter: [72/300], train_loss: 0.270517, valid_loss: 0.041238, best_valid_loss: 0.027754, lr: 0.00100
2026-06-13 19:19:25.744634: iter: [73/300], train_loss: 0.280418, valid_loss: 0.029146, best_valid_loss: 0.027754, lr: 0.00100
